2025-09-05 19:53:52,386 - DEBUG - 1 change detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs')}
2025-09-05 19:54:04,039 - DEBUG - 1 change detected: {(<Change.added: 1>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195403.log')}
2025-09-05 19:54:04,561 - DEBUG - 1 change detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195403.log')}
2025-09-05 19:54:05,376 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs'), (<Change.added: 1>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195405.log')}
2025-09-05 19:54:07,887 - DEBUG - 1 change detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs')}
2025-09-05 19:56:01,244 - DEBUG - 1 change detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194738.log')}
2025-09-05 19:56:01,606 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195348.log'), (<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194749.log')}
2025-09-05 19:56:01,964 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195348.log'), (<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194738.log')}
2025-09-05 19:56:02,371 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195348.log'), (<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194738.log')}
2025-09-05 19:56:02,777 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195348.log'), (<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194738.log')}
2025-09-05 19:56:03,155 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195348.log'), (<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194738.log')}
2025-09-05 19:56:03,572 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195348.log'), (<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194738.log')}
2025-09-05 19:56:03,978 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195348.log'), (<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194738.log')}
2025-09-05 19:56:04,403 - DEBUG - 2 changes detected: {(<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_195348.log'), (<Change.modified: 2>, 'E:\\Next JS\\researchbot\\backend\\logs\\research_assistant_20250905_194738.log')}
